string_field_0,string_field_2,string_field_3,string_field_45,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_44,string_field_43,string_field_5
United States of America,40-50,11,">$140,000",,,,,Python,,,,,C,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
What Country or Region do you live in?,How old are you?,How many years of IT/Programming experience do you have?,"Including bonus, what is your annual compensation in USD?",Which languages are you proficient in?,,,,,,,,,,,,,Please rate your job/career satisfaction,What operating system do you use the most?,Which best describes the size of your company?
Middle East,35-39,11,"$80,000 - $100,000",,,,,,,,,,C,Perl,,,I enjoy going to work,Linux,Start Up (1-25)
Germany,30-34,11,"$40,000 - $60,000",Java,,,,,,,C#,C++,C,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,"$100,000 - $120,000",,,,,,,,,,C,Perl,,,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
United States of America,51-60,41310,"$60,000 - $80,000",,,,,,,,C#,C++,C,,,,I'm not happy in my job,Linux,Mid Sized (100-999)
United Kingdom,30-34,11,"$60,000 - $80,000",Java,JavaScript,,,,,,C#,C++,C,,,"Delphi, bash",It pays the bills,Windows 7,Mid Sized (100-999)
Other Europe,35-39,11,"$120,000 - $140,000",Java,,,,Python,Ruby,,,C++,C,,,,It pays the bills,Linux,"Fortune 1000 (1,000+)"
Middle East,25-29,41435,"$80,000 - $100,000",,,,,,,SQL,,C++,C,Perl,,,I enjoy going to work,Linux,Mid Sized (100-999)
Other Europe,25-29,41435,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,Ruby,SQL,,C++,C,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
Mexico,25-29,41435,"$40,000 - $60,000",Java,,,,,,,,,C,,,,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
Response,Response,Response,Response,Java,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,C++,C,Perl,None,other (please specify),Response,Response,Response
Canada,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
United States of America,25-29,41310,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,
Other Europe,30-34,<2,,,,,,,,,,,,,,,,,
United Kingdom,< 20,41435,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,
United Kingdom,20-24,<2,,,,,,,,,,,,,,,,,
Other Europe,,,,,,,,,,,,,,,,,,,
Other Asia,30-34,41435,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,
