string_field_2,string_field_3,string_field_0,string_field_39,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_38,string_field_37,string_field_5
Response,Response,Response,Response,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,None,Other (please specify),Response,Response,Response
How old are you?,How many years of IT/Programming experience do you have?,What Country or Region do you live in?,"Including bonus, what is your annual compensation in USD?",Which languages are you proficient in?,,,,,,,,,,,,,,,"What best describes your career / job satisfaction? ",Which desktop operating system do you use the most?,Which best describes the size of your company?
35-39,11,Africa,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,
,,United States of America,,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,,
20-24,<2,India,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
30-34,40944,North America (Other),,,,,,,,,,,,,,,,,,,Start Up (1-25)
< 20,<2,Germany,,,,,,,,,,,,,,,,,,,Mature Small Business (25-100)
25-29,41070,Other Asia,,Java,JavaScript,,,Python,,Ruby,SQL,,C++,C,,,,,,Linux,Mature Small Business (25-100)
20-24,40944,United States of America,,Java,JavaScript,,,,,,SQL,C#,,,,HTML5,,,,Windows 7,Student
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
25-29,40944,Russia,,,,,,,,,,,,,,,,,,,"Fortune 1000 (1,000+)"
20-24,41070,Other Europe,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
< 20,40944,Other Europe,,,,,,,,,,,,,,,,,,,
,,Africa,,,,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,,,,
,,Other Asia,,,,,,,,,,,,,,,,,,,
25-29,40944,Germany,,,,,,,,,,,,,,,,,,,
30-34,41070,Africa,,,,,,,,,,,,,,,,,,,Start Up (1-25)
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,Student
< 20,40944,Canada,,Java,JavaScript,CSS,,,Objective-C,Ruby,,,C++,,,HTML5,,,,Mac OS X,Student
,,United States of America,,,,,,,,,,,,,,,,,,,
25-29,41070,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,Other Europe,,,,,,,,,,,,,,,,,,,
20-24,40944,India,,,,,,,,,,,,,,,,,,,Student
,,Africa,,,,,,,,,,,,,,,,,,,
25-29,41070,Australasia,,,,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,,,,
,,Italy,,,,,,,,,,,,,,,,,,,
25-29,40944,India,,,,,,,,,,,,,,,,,,,
20-24,40944,South America,,,,,,,,,,,,,,,,,,,
20-24,<2,United States of America,,,,,,,,,,,,,,,,,,,
25-29,41070,United States of America,,Java,,,,,,,SQL,,,,,,,Visual Basic,,Windows XP,"Fortune 1000 (1,000+)"
20-24,<2,India,,Java,,,,,,,,,,,,,,,,Windows XP,Start Up (1-25)
