string_field_2,string_field_3,string_field_0,string_field_100,string_field_56,string_field_57,string_field_58,string_field_59,string_field_60,string_field_61,string_field_62,string_field_63,string_field_64,string_field_65,string_field_66,string_field_67,string_field_68,string_field_69,string_field_99,string_field_81,string_field_5
How old are you?,How many years of IT/Programming experience do you have?,What Country or Region do you live in?,"Including bonus, what is your annual compensation in USD?",Which of the following languages or technologies have you used significantly in the past year?,,,,,,,,,,,,,,What best describes your career / job satisfaction?,Which desktop operating system do you use the most?,How many people work for your company?
,,United States of America,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,Russia,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Russia,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
,,Germany,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,,,
30-34,6/10/2013,Other Asia,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
< 20,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,Germany,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
30-34,11,Other Europe,,,,,,,,,,,,,,,,,,
20-24,11,Other Europe,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Other Europe,,,,,,,,,,,,,,,,,,
25-29,2/5/2013,United Kingdom,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,Canada,,,,,,,,,,,,,,,,,,
20-24,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
< 20,2/5/2013,United States of America,,,,,,,,,,,,,,,,,,
30-34,11,United States of America,,,,,,,,,,,,,,,,,,
51-60,<2,United States of America,,,,,,,,,,,,,,,,,,
35-39,2/5/2013,Germany,,,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,,,
,,Other Europe,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,United States of America,,,,,,,,,,,,,,,,,,
25-29,6/10/2013,United Kingdom,"$40,000 - $60,000",,,,Java,JavaScript,,,,,PHP,Python,,SQL,,It's a paycheck,Linux,3001
30-34,6/10/2013,United Kingdom,"$60,000 - $80,000",C,,,,,,,,,,,,,R,Love my job,Linux,3001
20-24,2/5/2013,Other Europe,Student / Unemployed,,C++,,Java,,,,,,,,,,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
40-50,<2,United States of America,">$140,000",,,,,,,,,,,,,,,I enjoy going to work,Windows XP,"1,000-3,000"
20-24,6/10/2013,Germany,Rather not say,,,,,JavaScript,jQuery,JQuery,Node.js,,,,Ruby,,"Coffeescript, haml (if that counts)",I enjoy going to work,Linux,1/25/2013
35-39,11,United Kingdom,,,C++,,,JavaScript,,,,,,,,,"Perl, Haskell",I'm not happy in my job,Linux,1/25/2013
40-50,11,United States of America,,,,C#,,JavaScript,jQuery,,,,,,,SQL,,,Windows 7,"1,000-3,000"
51-60,11,United States of America,,,,C#,,JavaScript,jQuery,,,,,Python,,SQL,,,Windows 7,3001
20-24,2/5/2013,United Kingdom,,,C++,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,,Mac OS X,1/25/2013
35-39,11,Italy,,,,,Java,JavaScript,jQuery,,,,PHP,,,SQL,,Love my job,Windows 7,"Other (not working, consultant, etc.)"
25-29,6/10/2013,Russia,"<$20,000",,,,,,,,,,,Python,,SQL,,I enjoy going to work,Linux,26-100
20-24,6/10/2013,Netherlands,Student / Unemployed,C,,,Java,JavaScript,jQuery,,,,PHP,Python,Ruby,SQL,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
