string_field_3,string_field_5,string_field_0,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_4,string_field_67,string_field_9
,,United Kingdom,,,,,,,,,,,,,,,,
,,Croatia,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Armenia,,,,,,,,,,,,,,,,
51-60,11,United Kingdom,Student / Unemployed,,,,,,,,,,,SQL,"VBA, Drupal",Female,Windows 8,
< 20,2/5/2014,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,<2,France,Student / Unemployed,,,C#,Java,JavaScript,,,,,,,Ocaml,Female,Windows 7,
20-24,2/5/2014,France,Student / Unemployed,C,C++,C#,Java,,,,,,,,as3,Male,Windows 8,
20-24,2/5/2014,Netherlands,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,6/10/2014,United Kingdom,Rather not say,,,,,,,,,Python,,,CSS & HTML,Male,Windows 8,
20-24,2/5/2014,New Zealand,Student / Unemployed,,,,,JavaScript,,,PHP,,,,"HTML, CSS, R",Male,Windows 7,
< 20,2/5/2014,United States,Student / Unemployed,C,,,Java,,,,,,,,,Male,Windows 7,
25-29,2/5/2014,United States,,,,,,,,,,,,,,Male,,100
35-39,6/10/2014,India,Rather not say,,,,,JavaScript,,,,,,,,Male,Windows 8,100
30-34,6/10/2014,Poland,"<$20,000",,,,,,,,,,,,,Male,,100
30-34,6/10/2014,Italy,"<$20,000",,,,,,,,,,,,,Male,,16-30
25-29,2/5/2014,India,Rather not say,,,,,,,,,,,,,Male,,100
20-24,6/10/2014,United States,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
25-29,6/10/2014,Australia,Rather not say,,,,,,,,,,,,,Male,,100
30-34,6/10/2014,Germany,"$40,000 - $60,000",,,,,,,,,,,,,Male,,31-50
35-39,6/10/2014,United States,"$100,000 - $120,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,Austria,,,,,,,,,,,,,,Male,,6/15/2014
35-39,11,United States,">$140,000",,,,,,,,,,,,,Male,,
,,Argentina,,,,,,,,,,,,,,,,
,,Pakistan,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
,,Russia,,,,,,,,,,,,,,,,
,,China,,,,,,,,,,,,,,,,
,,United Kingdom,,,,,,,,,,,,,,,,
35-39,11,United States,Rather not say,,,,,,,,,,,,,Male,,1/5/2014
51-60,11,United States,"$120,000 - $140,000",,,,,,,,,,,,,Male,,31-50
20-24,6/10/2014,United States,Student / Unemployed,,,,,,,,,,,,,Prefer not to disclose,,
25-29,<2,Poland,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
< 20,2/5/2014,Canada,Student / Unemployed,,,,,,,,,,,,,Prefer not to disclose,,
20-24,2/5/2014,United Kingdom,,,,,,,,,,,,,,Female,,16-30
25-29,2/5/2014,Netherlands,,,,,,,,,,,,,,Male,,
< 20,2/5/2014,Italy,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Canada,"<$20,000",,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,Palestine,Student / Unemployed,,,,,,,,,,,,,Male,Windows 7,
< 20,2/5/2014,United States,Student / Unemployed,,,,Java,JavaScript,,,,,,,,Male,Windows 7,
20-24,2/5/2014,Turkey,"<$20,000",,,,,,,,,,,,,Male,,6/15/2014
20-24,<2,Ukraine,"<$20,000",,,,,,,,,,,,,Male,,31-50
51-60,11,New Zealand,Rather not say,,,,,,,,,,,,,Male,,100
20-24,2/5/2014,Russia,,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,India,Student / Unemployed,,,,,,,,,,,,,Male,,
40-50,11,United States,"$80,000 - $100,000",,,,,,,,,,,,,Male,,50-100
30-34,2/5/2014,United States,Rather not say,,,,,,,,,,,,,Male,,
30-34,6/10/2014,India,Rather not say,,,,,,,,,,,,,Male,,100
30-34,11,Ukraine,,,,,,,,,,,,,,Male,,100
30-34,2/5/2014,Germany,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
20-24,2/5/2014,Georgia,Rather not say,,,,,,,,,,,,,Male,,6/15/2014
35-39,11,Japan,Rather not say,,,,,,,,,,,,,Male,,50-100
< 20,2/5/2014,Germany,Student / Unemployed,,,,Java,JavaScript,,,,,,,,Male,Mac OS X,1/5/2014
25-29,<2,United Kingdom,Rather not say,,,,,,,,,,Ruby,,,Male,Windows 8,
,,Ukraine,,,,,,,,,,,,,,,,
,,Canada,,,,,,,,,,,,,,,,
,,Spain,,,,,,,,,,,,,,,,
,,Armenia,,,,,,,,,,,,,,,,
,,India,,,,,,,,,,,,,,,,
< 20,<2,Algeria,Student / Unemployed,,,,,,,,,,,,,Prefer not to disclose,,1/5/2014
40-50,11,United States,Rather not say,,,,,,,,,,,,,Male,,100
40-50,11,Spain,"$40,000 - $60,000",,,,,,,,,,,,,Male,,16-30
25-29,<2,United States,,,,,,,,,,,,,,Male,,
40-50,11,Ireland,Rather not say,,,,,,,,,,,,,Female,,
20-24,<2,India,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,India,,C,,,Java,,,,PHP,Python,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,United Kingdom,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Italy,Student / Unemployed,C,,,,,,,,,,,MATLAB,Male,Ubuntu,
20-24,<2,Canada,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,2/5/2014,Denmark,Student / Unemployed,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,Philippines,Student / Unemployed,,,C#,Java,,,,,,,,,Male,Windows 7,
< 20,<2,United States,Student / Unemployed,,,,,,,,,,,,,Male,,
< 20,2/5/2014,Germany,Student / Unemployed,,,,Java,,,,,,,,,Male,Mint,
20-24,<2,France,Student / Unemployed,C,,C#,,JavaScript,,,PHP,,,SQL,,Male,Mint,
35-39,11,United Kingdom,"$20,000 - $40,000",,,,,,,,,,,,,Male,,31-50
25-29,2/5/2014,Israel,Student / Unemployed,,,,,,,,,,,,,Male,,
30-34,6/10/2014,United States,,,,,,,,,,,,,,Male,,1/5/2014
20-24,<2,Moldova,Student / Unemployed,,,,,,,,,,,,,Male,,
20-24,6/10/2014,Moldova,"<$20,000",,,,,,,,,,,,,Prefer not to disclose,,16-30
25-29,2/5/2014,United Arab Emirates,,,,,,,,,,,,,,Male,,1/5/2014
20-24,2/5/2014,United States,Rather not say,,,,,,,,,,,,,Male,,
